,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
20,Aspidosiphonidormes,0.04207031619116713,,,0.03809696588797297,,,,0.046373889576016826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Asterales,,,,,,,,,,,,0.01694550193690805,,,,,,,,0.00741860992724474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Atractiellales,,,,,,,,,,,,,,,,,,,,,,,,0.02103981343659344,,0.026612314770617474,,,,,,,,,,0.00798315733880836,,,,,,,,,,,,,,,,,,
23,Bacillariales,0.17346035735931492,0.11020775375559676,,0.19048482943986483,0.1812573017717775,0.39519255582204,0.40748875810281376,0.046373889576016826,0.09264821092241589,0.09166984970282113,,,,,0.04606212880077742,0.04693749505872881,0.03724194613619293,0.07926362667131126,0.08419580689080071,0.05981074536753344,0.10467635001901458,0.11515366359211761,0.06425588811712815,0.08283382833373812,0.09333748175804518,,,0.09743547036924463,,0.1008780985814349,0.06271472455890649,0.13645709099126416,0.13244627894630595,0.03456505649101418,0.09999324392797256,0.07739958205985327,0.029000739528287075,0.06237828615518053,0.036986336072765455,,0.07450846085504644,0.06137587007461801,0.1304259774794043,0.16659204536600802,0.061373050723226984,0.2152977045112778,0.44018623311256144,0.373341822856319,0.06463956203828576,0.046274481338274755,0.03993615319154359,0.09002070714423868,0.1595782885185307,0.17034628596731172
24,Balbianiales,,,,,,,,,,,,,,,,,,,,,0.010364503077909365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bangiales,,,,,0.04531432544294438,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,,0.03456505649101418,,0.00798315733880836,,0.009003530075820247,,0.04181210050035454,,,,,,,,,,,,,,
26,Basidiobolales,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039073233258228174,,,0.052093226107062324,,,,,,,,,,,,,,,,,,,,,,,,
27,Bdellonemertea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12120841118591365,
28,Beroida,,,,,,,,,,,,,,,,,,,,,0.05484379521382337,0.051293518570658135,0.10752066611409407,0.01487739475591506,,,,,,,,,,,,0.011289889379101088,,,,,,,,,,,,,,,,,,
29,Bicosoecida,,,,0.03809696588797297,,,,0.046373889576016826,,,,,0.0657951694959769,0.05590169943749474,,,0.05266806531497233,0.04576287619562756,0.025385990943455054,0.01049149877306519,0.027421897606911685,0.03077611114239488,0.04063899190541464,0.039361886680687734,0.03810486736392394,0.07040956669482475,0.06178020632152155,,,,,0.025711557285625568,0.028988551782622423,0.09145054352812239,0.016438788039136256,0.017850882484651814,0.07672874462880823,0.009003530075820247,,,0.00953983085648246,,0.03485780871878749,,,,,,,,0.03993615319154359,,,
30,Bivalvulida,,,,,,,,0.046373889576016826,,,0.06286946134619315,,,,,,,,,,,,,,0.02494549129163341,,,0.02515773027133138,,,,0.018180816511532222,0.014494275891311212,,,0.00798315733880836,,,,,0.01652347173904094,,,,,,,0.04025848411142373,,,,,,0.0472455591261534
31,Blastocladiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,,,,,,,,,,,0.03485780871878749,,,,,,,,,,,
32,Boletales,,,,,,,,,,0.06482037235521644,,,,,,,,,,,0.010364503077909365,0.010258703714131626,,0.02103981343659344,0.014402286112292014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Bonnemaisoniales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03319347772409527,0.04467435863364723,,,,,,,,,,,,,,,,,,,,,
34,Botryosphaeriales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009003530075820247,,,,,,,,,,,,,,,,
35,Brassicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014844574520140406,,,,,,,,,0.00953983085648246,,,0.02992081462322006,,,,,,,,,,
