,genus,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
29,Aplysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
30,Aquilaria,,,,,,,,,,,,0.06803723730165605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Archaphanostoma,,,,0.033709993123162106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031158847642487792,,,,,,,,,,,
32,Aricidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0985329278164293,0.12047778578575406,,,,,,,0.06486581250966159,0.17110175024477653,,
33,Armandia,,,,,,,,,,,,,,,0.01362911453735534,0.02880092164423916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07460470969529907,,0.055512738165336896,,
34,Asellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,0.010213124740788105,,,,,,,,,,,,,,,,,,,
35,Aspergillus,,,,,,,,,0.08606629658238704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03745029431365691,,,
36,Auerbachia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01631398795453881,,,,,,,,,,,,,,,,,,,,,,
37,Aurelia,,,0.09284766908852593,,,,,,,,,,,,,,,,,,0.009121111529894007,0.012828422323899866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Aureococcus,,,,,,,,,,,,,0.03145027318612195,,,,,0.03374836535314135,,,,,,,0.01266330148967263,,,,,,,,,,0.022837241183087123,0.031659205646937014,0.08043011062666637,,,,0.044348914283496944,,,,,,,,,,,,,
39,Auxenochlorella,,,,,,,,,,,,,,,,,,,,,,,,,0.01266330148967263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Avagina,,,,,,0.06900655593423542,,,,,,,,,,,,,,,,,,,,,,0.03191940947085184,,,,,,,,,,,,,,,,,,0.02634316848869161,,,,,,,,
41,Axiothella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1765268127128016,,,0.17626153112249426,,,,,,,,,
42,Bangia,,,,,0.040356715613563084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bathycoccus,,,,,,,,,,,,,0.15407424315426907,0.11451966686277365,,,0.33493917302777376,0.2782961500858745,0.012363121414592686,0.013598835989456822,0.02413219278858342,0.025656844647799732,0.06161246176452834,0.08325581065879477,0.0620372542174481,0.18768098919549092,0.17047203917087483,,,,,,0.009160444131083072,0.052366309277522866,0.036823944935621376,0.017340461085522337,0.31236857074491076,0.06548118901745499,0.28097574347450816,0.3054174839765328,0.04991305625076083,,,,,,,,,,,,,
44,Benoinyssus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031158847642487792,,,,,,,,,,,
45,Beroe,,,,,,,,,,,,,,,,,,,,,0.043743314202716786,0.04443895849189075,0.08066964851100673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Biecheleria,,,0.16081688022566923,0.033709993123162106,,,,0.12027695586485274,0.06085806194501846,,,,,,0.01362911453735534,0.016628219864210796,,,0.012363121414592686,0.006799417994728411,,0.01571154444924173,,,,,,0.022570430888309446,,0.05261700561773909,0.13619246343602937,0.03524224189677176,0.022438413938426348,,0.028887079045261478,0.03320445500854597,,0.01122993126994272,,,0.008096966917978113,,,,,,,,0.048001536073731935,0.06091449038731727,0.11235088294097073,0.0679889413649005,0.02668802563418119,
47,Biecheleriopsis,,,,0.033709993123162106,,,,0.09508728264112049,,0.06178020632152155,,,,,0.009637239310932117,0.023515854050088617,,,,,,0.009071064417154483,,,,,,,,,0.04016096644512494,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
48,Bifurcaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01883777067421859,,,0.010213124740788105,0.020023039751197107,,,,,,,,,,,,,,,,,,
49,Bigelowiella,,,,,,,,,,,,,0.044477402880152554,,,0.009600307214746386,,,,,,0.009071064417154483,,0.013002373149669486,,,,,,,,,,,,0.007079213594019637,,,,,,,,,,,,,,,,,,
50,Blastocystis,,,,,,,,,,,,,,,,,,,,,0.009121111529894007,,0.023287321641631116,,,0.021388233719233228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bodomorpha,,,,,,,,,,,,,,,,,,,,,,0.018142128834308966,0.023287321641631116,0.013002373149669486,,,,0.03909313304727391,,,,0.013320315386177048,0.018320888262166143,,,,,,,,,,,0.027639499641139105,,,,,,,,,,
52,Brachionus,,,,,,,,,,,,,,,,,,,,,,0.009071064417154483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,0.01266330148967263,,,,,,,,,0.06046740551569005,0.010213124740788105,0.010011519875598554,0.06142951168339512,,,,,,,,,,,,,,,,,
54,Calanus,,,,,,,,,,,,,0.03145027318612195,,0.15479698458411018,0.14685646147343226,,,0.1672452065486145,0.19195565060301847,0.02736333458968202,0.039539853104724076,,0.04111711414037298,0.07702785581125031,,,0.03191940947085184,,,,,,,0.014443539522630739,0.012261557622474287,,0.1169747073582518,0.02867696673382022,,0.09614615505150119,,,0.04787301767423468,,,,,,,,,,
55,Callopora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
56,Campanularia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013320315386177048,,,,,,,,,,,,,,,,,,,,,,
57,Canuella,0.052450277757737605,0.07868894753646337,,,,,,,,,,,,,0.021549522214677447,0.019200614429492772,,,0.03151989867096247,0.021501647626876532,,0.009071064417154483,,,,,,,,,,,0.022438413938426348,,0.017689650955083718,0.007079213594019637,,0.007940760553235355,,,0.021422560838887206,,,,,,,,,,0.0529627141332376,,0.05337605126836238,0.09595886165829118
58,Capitella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051589359656894124,,,,0.010011519875598554,,,,,,,,,,,,,,,,,,
59,Capsicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037254866152587225,,,,,,,,
60,Cardiostomatella,,,,,,,,,,,,,,,,,,,,0.006799417994728411,,,,,0.01266330148967263,,0.02278028445007573,,,,,,,,,0.010011519875598554,,,,,,,,,,,,,,,,,,
61,Carinina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03925343359894298,,
62,Catenula,,,,,,0.03984095364447979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Catostylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008096966917978113,,,,,,,,,,,,,
64,Celleporina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,0.012954824327538703,,,,,,,,,,,,,,,,,,,,,
65,Centroceras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,,,,,,,,,,,,,,,,,,,,
66,Cephalothrix,,0.055641488407465724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027639499641139105,,,,,,,,,,
67,Ceramium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05882092007739157,0.06412310891758151,,,0.010011519875598554,,,,,,,,,,,,,,,,,,
68,Cerastoderma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01883777067421859,0.031732709309864035,0.030233702757845024,,,,,,,,,,,,,,,,,,,0.03774256780481986,
69,Cercomonas,,,,,,,,,,,,,,,,,,,,,,,0.03293324609693921,,0.01266330148967263,,,0.03909313304727391,,0.04075695729696112,0.06956083436402524,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
70,Chaetoceros,,,,0.08257228238447704,,,,,,,,,,,,0.009600307214746386,,,,,0.020395425411200103,0.03394081518234833,,0.018388132451298365,0.02193348157167565,,,0.03909313304727391,,,0.02839809171235324,,,,0.014443539522630739,0.014158427188039275,,0.01122993126994272,,,0.016193933835956225,,,0.027639499641139105,,,,0.03145027318612195,0.07589709258986453,0.06091449038731727,0.06486581250966159,,,
71,Chaetonotus,,,,,,,,0.04252432555625623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Champia,,,,,,,,,,,,,,,,,,,,,,,,,0.01266330148967263,,,,,,,0.023071463021700097,0.018320888262166143,,,,,,,,,,,,,,,,,,,,,
73,Chattonella,,,,,,,,,,,,,,,,,,,,,,,,0.013002373149669486,,,,0.1150870675296872,0.11867816581938534,0.047062080533501166,0.04016096644512494,,,,,,,,,,,,,,,,,,,,,,,
74,Chiharaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010213124740788105,,,,,,,,,,,,,,,,,,,
75,Chlamydomonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01588152110647071,,,0.008096966917978113,,,,,,,,,,,,,
76,Chlorellidium,,,,,,,,,,,,,,,,,,0.03374836535314135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Chondracanthus,0.0370879470776142,,,,,,,,,,,,,,0.03474756048948299,0.013576884666042613,,,0.04457586818510082,0.04079650796837046,,,,,,,,,,,,,,,0.025016944294325567,0.010011519875598554,,0.007940760553235355,,,0.03529386054465858,,,,,,,,,,,0.03925343359894298,,
78,Chondria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024920028229423966,0.022438413938426348,,,,,,,,,,,,,,,,,,,,,
79,Chromulina,,,,,,,,,,,,,0.03145027318612195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Chrysochromulina,,,,,,,,,,,,,0.11767614698291161,0.11451966686277365,0.03196310680922505,0.04073065399812784,0.13071980401592317,0.1471057140840325,0.02312928228224691,0.015203960843648032,0.032886635310258636,0.043503296681789795,0.08066964851100673,0.06235719102905981,0.05372583813334336,0.09322914936296674,0.08213548365440304,,,,,0.033960274040663485,0.0377694787300249,0.06046740551569005,0.05866993489036473,0.062119847178264506,0.1271711710197892,0.01122993126994272,0.07587212233336049,0.1141889545974398,0.02919402939850571,,,,,,,,,,,,,
81,Chylocladia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,0.015866354654932018,,,,,,,,,,,,,,,,,,,,,
82,Ciliophrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
83,Ciona,,,,,,,,,0.06085806194501846,,,,,,,,,,,,,,,,,,,,,,,0.024920028229423966,0.03302845102064319,,,,,,,,,,,,,,,,,,,,,
84,Cirratulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10670525512654276,0.044065264923923174,,0.1058863245569289,0.07902950546607483,,,,,,,,
85,Citrus,,,,,,,,,,,,0.12823948238925675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Cladococcus,,,,,,,,,,0.1381447409988844,0.09637388493048533,,,,0.016692188131234506,0.013576884666042613,0.09827637893594153,0.0791469323603266,0.012363121414592686,0.013598835989456822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0430730492253948,0.03745029431365691,0.055512738165336896,0.06537204504606135,
87,Cladostephus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013320315386177048,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,0.07432941462471664
88,Claudea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,,,,,,,,,,,,,,,,,,,,
89,Clytia,,,,,,,,,,,,,,,,,,,,,0.01579822859127871,,0.03293324609693921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Coccomyxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010213124740788105,0.007079213594019637,,,,,,,,,,,,,,,,,,
91,Cochlodinium,,,,,,,,,,,,,,,0.025497738541941862,0.013576884666042613,,,0.012363121414592686,0.006799417994728411,,,,,,,,,,,,,,,,0.014158427188039275,,0.01122993126994272,,,,,,,,,,,,,,,,
92,Colobanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,0.018320888262166143,,,0.007079213594019637,,,,,0.016193933835956225,,,,,,,0.03145027318612195,,,,,0.02668802563418119,
93,Colponema,,,,,,,,,,,,,,,,,,,,,,,,0.013002373149669486,,,,,,,0.04016096644512494,,,,,,,,0.040555355282690636,,,,,,,,,,,,,,,
94,Coniophora,,,,,,,,,,0.06178020632152155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Corallina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,,,,,,,,,,,,,,,,,,,,
96,Corbicula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015829602823468507,,,,,,,,,,,,,,,,,,
97,Corchorus,,,,0.033709993123162106,0.0902403594605542,,,,0.08606629658238704,0.06178020632152155,,,0.03145027318612195,,,,,,,,0.020395425411200103,0.01571154444924173,0.023287321641631116,0.026004746299338972,0.02193348157167565,,0.02278028445007573,,,0.023531040266750583,0.02839809171235324,0.033960274040663485,0.025909648655077406,,0.02042624948157621,0.022386438999928603,,,,0.04478859290223893,0.014024358089142472,,0.031158847642487792,0.04787301767423468,,,,,,,,,,
98,Cordagalma,,,,,,,,,,,,,,,,,,,0.00874204698889111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Cornirostra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
100,Corynactis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008096966917978113,,,,,,,,,,,,,
101,Coryne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,,,,,,,,,,,,,,,,,,,,
102,Crepidula,,,,,,,0.03040089501552408,,0.06085806194501846,0.0873704056661038,,,,,,0.009600307214746386,,,0.00874204698889111,,,,,,,,,0.04514086177661889,,,,0.01631398795453881,0.009160444131083072,,,,,,,,,,,0.04787301767423468,,0.045627706254761306,,,0.1270001270001905,0.07460470969529907,0.0529627141332376,,,0.04291410754228745
103,Crisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030233702757845024,,,,,,,,,,,,,,,,,,,,
104,Crisularia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01631398795453881,0.022438413938426348,,,0.010011519875598554,,,,,,,,,,,,,,,,,,
105,Crustomastix,,,,,,,,,,,,,,,,,,,,,0.009121111529894007,,,,,,,0.022570430888309446,,,,,0.009160444131083072,,0.014443539522630739,0.007079213594019637,,0.01122993126994272,0.040555355282690636,0.03167031776097682,,,,,,,,,,,,,,
106,Cryothecomonas,,,0.18569533817705186,0.10660035817780522,0.040356715613563084,,,,,0.0873704056661038,,,,,0.023606318840875044,,,,,0.006799417994728411,0.08209000376904607,0.0888779169837815,0.08066964851100673,0.07355252980519346,0.09305588132617215,0.0676355336807913,0.0755536561384688,0.03909313304727391,,0.04075695729696112,0.06350006350009525,0.05328126154470819,0.05181929731015481,,0.06295792916618309,0.06899963902388534,,0.03890162305009455,,0.054854599453862854,0.030296076079117037,,0.06967330142916177,,,,,,,,,0.03925343359894298,0.03774256780481986,0.04291410754228745
107,Cryptocaryon,,0.055641488407465724,,,,,,0.04252432555625623,0.2018433569398328,,,,,,,,,,,,0.02413219278858342,0.01571154444924173,0.03293324609693921,0.013002373149669486,0.017908612711114453,0.03704550748586981,,,,,,0.013320315386177048,0.012954824327538703,,0.025016944294325567,0.012261557622474287,,0.01122993126994272,,,,,,0.039088155249705214,,,,,,,,,,
108,Cryptomonas,,,,,,,,,,,,,,,,,,,,,,,,0.013002373149669486,,,,,,,,,0.009160444131083072,,,,,0.007940760553235355,,,,,,,,,,,,,,,,
109,Cryptosporidium,,,,,0.05707301455353496,,,,,,,,,,,,,,,,,0.01571154444924173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Cyclops,0.0370879470776142,,,,,,,,,,,,,,0.036059247655857364,0.009600307214746386,,,0.01514166954691392,0.028034718584990664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03925343359894298,,
111,Cyclospora,,,,,,,,,,,,,,,0.01362911453735534,,,,,0.006799417994728411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Cyclotella,,,,,,,0.07446668051195447,,,,,,,,0.023606318840875044,,,,0.00874204698889111,,0.04179818400787375,0.04254706350059492,,0.018388132451298365,0.01266330148967263,,,,,0.023531040266750583,,0.01883777067421859,0.012954824327538703,,0.033873102702289895,0.04477287799985721,,0.01588152110647071,,,0.03238786767191245,,,,,,,,0.03394221166510653,,0.03745029431365691,,,
113,Cylindrotheca,,,,,,0.05634361698190111,0.04299335803923478,,,,,,,,0.025497738541941862,0.021466939537054593,,0.041333137384109465,0.03496818795556444,0.025441092565739218,0.009121111529894007,0.01571154444924173,,0.018388132451298365,0.02193348157167565,,,,,0.03327791628198609,,0.021061267886052407,0.015866354654932018,,0.02042624948157621,0.014158427188039275,,0.01375380072894238,,,0.008096966917978113,,,0.039088155249705214,,0.02634316848869161,0.05439282932204212,0.03145027318612195,,,,,0.04622501635210243,
114,Cymbomonas,0.0370879470776142,,,,,,,,,,,,,,0.025497738541941862,0.013576884666042613,,,,,0.009121111529894007,0.01571154444924173,,,,,,0.03909313304727391,0.11867816581938534,0.03327791628198609,,0.009418885337109295,0.012954824327538703,,0.010213124740788105,0.010011519875598554,,0.01375380072894238,,0.04478859290223893,0.011450840429490926,,,,,,,,,,,,,
115,Cystofilobasidium,,,,,,,,,,,0.07868894753646337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Daphnia,,,,0.05838742081211422,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,,0.007079213594019637,,,,,0.011450840429490926,,,,,,,,,0.0430730492253948,,,,
117,Desmochloris,,,,,,0.05634361698190111,0.03040089501552408,,,,,,,,,,,,,,,,,0.029074190231479016,0.035817225422228906,0.03704550748586981,,,,,,0.04417848822514726,0.04580222065541536,0.06760461457806434,,0.010011519875598554,,,,,,0.024479864412701332,,,0.02447672146901953,0.06969747256655125,0.08600261451922268,0.044477402880152554,,,,,,
118,Diaphanoeca,,,,,,,,,,,,,0.03145027318612195,,,,,,0.00874204698889111,0.015203960843648032,0.012899199629493714,0.009071064417154483,,0.03184917966195481,0.017908612711114453,,0.02278028445007573,,,,,0.013320315386177048,,,0.010213124740788105,0.014158427188039275,,,,,0.016193933835956225,,,,,,,,,,,,,
