,family,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
30,Bacillariaceae,0.12216944435630522,0.1,,0.15066058828554763,0.14065622155408022,0.29657058333331304,0.3111406605352278,0.04463218426774518,,0.0944911182523068,,,,,0.042243047557175784,0.04424605508697462,0.028490144114909487,0.049859965494422814,0.07636035483212125,0.0534338261009167,0.0824603990673173,0.08894368861484496,0.0417149758616362,0.07067282781094568,0.07122897386178137,,,0.051987524491003634,,0.06876141641725289,0.042144975196108964,0.11762600844454181,0.11788834830391162,0.031023602427884885,0.07935249851602706,0.058691365712392515,,0.048120713610564574,,,0.04747962615283043,0.050713252544893596,0.10375096456423243,0.13489572604991726,0.051580208550896296,0.1752191610126156,0.3484854734952257,0.2674259638028931,,,,0.057928444636349226,0.1272446874558475,0.1419904585617662
31,Balanidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02184260141652595,0.02513388030837367,,0.02083898703729188,0.02396064971707363,,,,,,,,,,,,,,,,,,
32,Bangiaceae,,,,,0.042409446483998546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007224407713151682,,,,0.033709993123162106,,,,,,,,,,,,,,
33,Basidiobolaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048621663832631515,,,,,,,,,,,,,,,,,,,,,,,,
34,Bathycoccaceae,,,,,,,,,,,,,0.16472910608620384,0.12960444602717608,,,0.37146603207697604,0.31925955353490426,0.012726725805353542,0.01403241019871622,0.0398690899146848,0.03955766904424295,0.13409488623762356,0.0925324522914968,0.07470557803231676,0.21038227204093282,0.19824558013652693,,,,,0.02184260141652595,0.02124200588045929,0.3412596267067337,0.05611068980477818,0.03956971069107488,0.6718329529104048,0.08252634300259692,0.41254477608171103,0.42905816516051654,0.055674796694440136,,,,,,,,,,0.038895492079220696,,,
35,Beroidae,,,,,,,,,,,,,,,,,,,,,0.04603685958917732,0.04567726174241559,0.08683664691971853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Biecheleriaceae,,,0.16081688022566923,0.03551104121142175,,,,0.12623888061956062,0.06108472217815261,,,,,,0.014081015852391928,0.01713642344872287,,,0.012726725805353542,0.00701620509935811,,0.01614935076204746,,,,,,0.023249527748763855,,0.05436067275445352,0.14292056445532025,0.03783249542289887,0.023269451574769878,,0.0294707780942553,0.03464704224799639,,0.011670987352732655,,,0.008393291405217137,,,,,,,,0.05044332723053183,0.06318240236065634,0.1166864762376621,0.07094756547606032,0.027767067240353285,
37,Bitectiporidae,,,,0.03551104121142175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043873999307185683,,,,,,,,,,,,,,,,,,,,
38,Bithyniidae,,,,,,,,,,,,,,,0.014081015852391928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bittacidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008393291405217137,,,,,,,,,,,,,
40,Blastocystidae,,,,,,,,,,,,,,,,,,,,,0.009397234612803269,,0.0240841525429544,0.01335590905981797,0.022524579279982863,0.031189143077590267,0.023363465675799888,,,,,,0.009499713825431449,,,,,,,,0.008393291405217137,0.009417214581382252,,,0.009417214581382252,,,,,,,,,
41,Bothrioplanidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05006261743217589,,,,,,,,
42,Botryochloridaceae,,,,,,,,,,,,,,,,,,0.03525631971083364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Brachionidae,,,,,,,,,,,,,,,,,,,,,,0.009323832009705789,,,,,,,,,,,0.009499713825431449,,,,,,,,,,0.046398841899359104,,,,,,,,,,,
44,Bugulidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023927371020851115,0.03150698637470787,,,0.010216855368051905,,,,,,,,,,,,,,,,,,
45,Cafeteriaceae,,,,,,,,,,,,,,,,,,,,,,,,,0.013004571910681174,,,,,,,0.009768308314557043,0.009499713825431449,0.06204720485576977,0.01041949351864594,0.010216855368051905,0.06503543073398751,,,,,,,,,,,,,,,,,
46,Calanidae,,,,,,,,,,,,,0.03170213124741207,0.05796087030059365,0.20694782339040815,0.18350114528543138,,,0.20873382302811233,0.25654761381271496,0.05559478970984937,0.06042533757041826,,0.06120446424156233,0.09377730167883934,,,0.03287979746107146,,,,,0.018999427650862898,,0.018047092163429385,0.012513041213771196,,0.17013241454783,0.052534651463732235,,0.13083846440910532,,,0.04981354813867179,,,,,,,,,,
47,Caligidae,,,,,,,,,,,,,,,,0.013991831155211932,,,0.012726725805353542,,0.013289696638228264,,,,,,,,,,,,0.013434624130588352,,,,,,,,,,,,,0.025031308716087945,,,,,,,,
48,Calloporidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,0.009499713825431449,,,0.007224407713151682,,,,,,,,,,,,,,,,,,
49,Callyspongiidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007224407713151682,,,,,,,,,,,,,,,,,,
50,Calyptraeidae,,,,,0.042409446483998546,0.06183924141031063,0.07989354619369611,0.07730521080451097,0.06108472217815261,0.0944911182523068,0.05716619504750295,,,,,0.013991831155211932,,,0.015586992159713741,0.00701620509935811,,,,,,,,0.051987524491003634,0.1796053020267749,,,0.019536616629114087,0.018999427650862898,,,0.007224407713151682,,,,,,0.01331795258076845,,0.04981354813867179,0.01331795258076845,0.06131393394849658,,0.03511474936103118,0.17834409375160543,0.08935341032175405,0.07779098415844139,0.10033500931359766,,0.04490132550669373
51,Campanulariidae,,0.12909944487358055,,,,,,,,,,,,,,,,,,,0.09255202743161588,0.09277095715349828,0.07616077755067217,,0.013004571910681174,,,,,,,0.02184260141652595,0.009499713825431449,,,,,,,,,,,,,,,,,,,,,
52,Candonidae,0.03863337046431279,,,0.03551104121142175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028251643744146758,0.06561787149247866,0.04981354813867179,0.028251643744146758,0.05006261743217589,,0.03511474936103118,,,,,,
