,kingdom,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Fungi,0.2912608880099056,0.2494011967449215,0.4444444444444444,0.22438186696393767,0.23002185311411807,0.08102191939419526,0.13025792180516724,0.3240167845041672,0.39361094683048226,0.22514716129596513,0.4227812216178209,1.0,0.16279916396582464,0.17645884662123973,0.104918362354326,0.10260640753047619,0.1285117762342563,0.11340959542474854,0.10253204627247285,0.06932760542240955,0.10962676242852765,0.12192472065642365,0.1817812431698167,0.21155435413917803,0.21340137589777272,0.16561418282851512,0.18969136558711075,0.23737470216096362,0.27386127875258304,0.18461744577957315,0.20986055078837965,0.15887064923174915,0.17845765256206242,0.17350709507649772,0.11651398161269859,0.12365593463909841,0.14252911224547643,0.1202492449815288,0.1686427198917198,0.1471057140840325,0.16681461757610858,0.06451681408775528,0.22146404115766866,0.17121904366060486,0.062497346466553666,0.09538239546514968,0.14446302370292305,0.19395245515057077,0.29500968920282855,0.2946278254943948,0.3182745690417337,0.219127135383498,0.20067001862719533,0.3113995776646092
1,Metazoa,1.0,1.0,0.4303314829119352,1.0,0.9414050064894419,0.6922515827568194,0.47526294558310206,0.7117314660671019,0.5035088149780135,0.6616555134155384,0.7289725414469155,0.38849781112770937,0.2855686245854129,0.29364527053943784,1.0,0.993713528910675,0.3646203187956106,0.3458527835799039,1.0,1.0,0.4094730380868156,0.4278356830871135,0.2971515184526965,0.46088240084927024,0.48589063652840836,0.28211049419554,0.32773676267223106,0.4773507903940071,0.806225774829855,0.4669115878495277,0.3245828996141577,0.5219423944864856,0.4999755016046302,0.6778082942614626,0.2346295488315736,0.18966583939816886,0.27451852286706746,0.8273054837735047,0.18671471640205792,0.1996580219783791,0.870939505738719,1.0,1.0,1.0,1.0,1.0,0.612904702146299,1.0,0.7119170868623346,0.9682458365518543,1.0,1.0,1.0,0.8598801889763128
2,Viridiplantae,0.23234581088428424,0.2075143391598224,0.40061680838488767,0.19094065395649334,0.3450327796711771,0.3340619316525471,0.30022967524933,0.3549426037664455,0.3213819923028137,0.29590134113693356,0.25060313718537075,0.7163545682505784,0.34089287330528983,0.3390723519844098,0.1549746918396466,0.17247025629021612,0.5586937697197808,0.5920154686429572,0.17722938923964165,0.11815754803085177,0.16670839070453816,0.17802128766355493,0.2773500981126146,0.22863229709016894,0.19929682927709644,0.3586044092062426,0.3693405741598537,0.28912165479145596,0.5,0.21961673719008598,0.22951476937436333,0.2444630907794504,0.2480694691784169,0.5743195381816405,0.17893986093667952,0.17973621981911866,1.0,0.2173810313849232,0.6229553711907562,0.6698859250794794,0.20478776914829977,0.0719846323313458,0.2609978754859403,0.2615414093308902,0.07196934994314493,0.220276206791022,0.23219182474467284,0.29626726898333944,0.2677169306353363,0.28867513459481287,0.26482044885142486,0.17096068966658237,0.2378394279347837,0.28603877677367767
3,,0.9765897329107731,0.8096310223456717,1.0,0.8759915017345267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6067407702085943,1.0,1.0,0.829581738787397,1.0,1.0,1.0,0.9138534921573617,0.5852901104242378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.914066569411582,1.0,1.0,1.0,1.0,0.20485112235707864,0.7537372824852001,0.7832391885579669,0.2043926214930758,0.6187615109473691,1.0,0.8709883407113854,1.0,1.0,0.9696699130424437,0.6914328108656291,0.6985809476104639,1.0
